method,path,normalized_path,page,title,sdk_module_guess,src_path_match,test_path_match,src_evidence,test_evidence,audit_status,notes
GET,/v1/actions,/v1/actions,actions,Actions requests,actions,true,true,src/actions.rs;src/lib.rs,tests/action_tests.rs,implemented_and_tested,
GET,/v2/actions,/v2/actions,actions,Actions requests,actions,true,false,src/actions.rs;src/lib.rs,,implemented_no_test_path_evidence,
GET,/v1/actions/{uid},/v1/actions/{},actions,Actions requests,actions,true,false,src/actions.rs,,implemented_no_test_path_evidence,
GET,/v2/actions/{uid},/v2/actions/{},actions,Actions requests,actions,true,false,src/actions.rs,,implemented_no_test_path_evidence,
GET,/v1/actions/bdb/{bdb_uid},/v1/actions/bdb/{},actions/bdb,Database actions requests,,true,false,src/actions.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs,/v1/bdbs,bdbs,Database requests,bdb,true,true,src/bdb.rs;src/testing/mod.rs;src/testing/server.rs,tests/bdb/crud.rs;tests/common/fixtures.rs;tests/tower_integration_tests.rs;tests/tower_middleware_tests.rs,implemented_and_tested,
GET,/v1/bdbs/{uid},/v1/bdbs/{},bdbs,Database requests,bdb,true,false,src/bdb.rs;src/testing/server.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid},/v1/bdbs/{},bdbs,Database requests,bdb,true,false,src/bdb.rs;src/testing/server.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/{action},/v1/bdbs/{}/{},bdbs,Database requests,bdb,false,false,,,docs_only,
POST,/v1/bdbs,/v1/bdbs,bdbs,Database requests,bdb,true,true,src/bdb.rs;src/testing/mod.rs;src/testing/server.rs,tests/bdb/crud.rs;tests/common/fixtures.rs;tests/tower_integration_tests.rs;tests/tower_middleware_tests.rs,implemented_and_tested,
POST,/v2/bdbs,/v2/bdbs,bdbs,Database requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
DELETE,/v1/bdbs/{uid},/v1/bdbs/{},bdbs,Database requests,bdb,true,false,src/bdb.rs;src/testing/server.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/actions/backup_reset_status,/v1/bdbs/{}/actions/backup_reset_status,bdbs/actions,Database actions requests,actions,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/actions/backup_reset_status,/v1/bdbs/{}/actions/backup_reset_status,bdbs/actions/backup_reset_status,Backup reset status database action requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/actions/export,/v1/bdbs/{}/actions/export,bdbs/actions/export,Export database action requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/actions/export_reset_status,/v1/bdbs/{}/actions/export_reset_status,bdbs/actions/export_reset_status,Export resets status database action requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/actions/import,/v1/bdbs/{}/actions/import,bdbs/actions/import,Import database action requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/actions/import_reset_status,/v1/bdbs/{}/actions/import_reset_status,bdbs/actions/import_reset_status,Import reset status database action requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{uid}/actions/optimize_shards_placement,/v1/bdbs/{}/actions/optimize_shards_placement,bdbs/actions/optimize_shards_placement,Optimize shards placement database action requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/actions/rebalance,/v1/bdbs/{}/actions/rebalance,bdbs/actions/rebalance,Rebalance database requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{uid}/actions/recover,/v1/bdbs/{}/actions/recover,bdbs/actions/recover,Recover database requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/actions/recover,/v1/bdbs/{}/actions/recover,bdbs/actions/recover,Recover database requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/actions/resume_traffic,/v1/bdbs/{}/actions/resume_traffic,bdbs/actions/resume_traffic,Resume database traffic requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
PUT,/v1/bdbs/{uid}/actions/revamp,/v1/bdbs/{}/actions/revamp,bdbs/actions/revamp,Revamp database requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/actions/stop_traffic,/v1/bdbs/{}/actions/stop_traffic,bdbs/actions/stop_traffic,Stop database traffic requests,,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/alerts,/v1/bdbs/alerts,bdbs/alerts,Database alerts requests,alerts,true,true,src/bdb.rs,tests/bdb/monitoring.rs,implemented_and_tested,
GET,/v1/bdbs/alerts/{uid},/v1/bdbs/alerts/{},bdbs/alerts,Database alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/alerts/{uid}/{alert},/v1/bdbs/alerts/{}/{},bdbs/alerts,Database alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/alerts/{uid},/v1/bdbs/alerts/{},bdbs/alerts,Database alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/local/bdbs/{uid}/endpoint/availability,/v1/local/bdbs/{}/endpoint/availability,bdbs/availability,Database availability requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{uid}/availability,/v1/bdbs/{}/availability,bdbs/availability,Database availability requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/crdt_sources/alerts,/v1/bdbs/crdt_sources/alerts,bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/crdt_sources/alerts/{uid},/v1/bdbs/crdt_sources/alerts/{},bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/crdt_sources/alerts/{uid}/{crdt_src_id},/v1/bdbs/crdt_sources/alerts/{}/{},bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/crdt_sources/alerts/{uid}/{crdt_src_id}/{alert},/v1/bdbs/crdt_sources/alerts/{}/{}/{},bdbs/crdt_sources-alerts,Database CRDT sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/debuginfo,/v1/bdbs/debuginfo,bdbs/debuginfo,Database debug info requests,debuginfo,true,true,src/debuginfo.rs,tests/debuginfo_tests.rs,implemented_and_tested,
GET,/v1/bdbs/{bdb_uid}/debuginfo,/v1/bdbs/{}/debuginfo,bdbs/debuginfo,Database debug info requests,debuginfo,true,false,src/debuginfo.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/modules/config,/v1/bdbs/{}/modules/config,bdbs/modules,Database modules requests,modules,false,false,,,docs_only,
POST,/v1/bdbs/{uid}/modules/config,/v1/bdbs/{}/modules/config,bdbs/modules/config,Database modules config requests,,false,false,,,docs_only,
POST,/v1/bdbs/{uid}/modules/upgrade,/v1/bdbs/{}/modules/upgrade,bdbs/modules/upgrade,Database upgrade modules requests,,false,false,,,docs_only,
PUT,/v1/bdbs/{uid}/passwords,/v1/bdbs/{}/passwords,bdbs/passwords,Database passwords requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
POST,/v1/bdbs/{uid}/passwords,/v1/bdbs/{}/passwords,bdbs/passwords,Database passwords requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
DELETE,/v1/bdbs/{uid}/passwords,/v1/bdbs/{}/passwords,bdbs/passwords,Database passwords requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{bdb_uid}/peer_stats,/v1/bdbs/{}/peer_stats,bdbs/peer_stats,CRDB peer stats requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{bdb_uid}/peer_stats/{uid},/v1/bdbs/{}/peer_stats/{},bdbs/peer_stats,CRDB peer stats requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/replica_sources/alerts,/v1/bdbs/replica_sources/alerts,bdbs/replica_sources-alerts,Database replica sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/replica_sources/alerts/{uid},/v1/bdbs/replica_sources/alerts/{},bdbs/replica_sources-alerts,Database replica sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/replica_sources/alerts/{uid}/{replica_src_id},/v1/bdbs/replica_sources/alerts/{}/{},bdbs/replica_sources-alerts,Database replica sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/replica_sources/alerts/{uid}/{replica_src_id}/{alert},/v1/bdbs/replica_sources/alerts/{}/{}/{},bdbs/replica_sources-alerts,Database replica sources alerts requests,alerts,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{bdb_uid}/shards,/v1/bdbs/{}/shards,bdbs/shards,Database shards requests,bdb,true,false,src/bdb.rs;src/shards.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/stats,/v1/bdbs/stats,bdbs/stats,Database stats requests,bdb,true,true,src/stats.rs,tests/stats_tests.rs,implemented_and_tested,
GET,/v1/bdbs/stats/{uid},/v1/bdbs/stats/{},bdbs/stats,Database stats requests,bdb,true,false,src/bdb.rs;src/stats.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/stats/last,/v1/bdbs/stats/last,bdbs/stats/last,Latest database stats requests,,true,false,src/stats.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/stats/last/{uid},/v1/bdbs/stats/last/{},bdbs/stats/last,Latest database stats requests,,true,false,src/stats.rs,,implemented_no_test_path_evidence,
GET,/v1/bdbs/{bdb_uid}/sync_source_stats,/v1/bdbs/{}/sync_source_stats,bdbs/sync_source_stats,Database syncer source stats requests,bdb,true,false,src/bdb.rs,,implemented_no_test_path_evidence,
