page,title,method,path,description,source,source_type,sdk_module_guess,repo_module_exists,status,notes
debuginfo,Debug info requests,GET,/v1/debuginfo/all,Gets debug info for all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/debuginfo/,official_docs,debuginfo,true,unreviewed,
debuginfo,Debug info requests,GET,/v1/debuginfo/all/bdb/{bdb_uid},Gets debug info for a database from all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/debuginfo/,official_docs,debuginfo,true,unreviewed,
debuginfo/all,All nodes debug info requests,GET,/v1/debuginfo/all,Get debug info for all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/debuginfo/all/,official_docs,,,unreviewed,
debuginfo/all/bdb,All nodes database debug info requests,GET,/v1/debuginfo/all/bdb/{bdb_uid},Get debug info for a database from all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/debuginfo/all/bdb/,official_docs,,,unreviewed,
debuginfo/node,Current node debug info requests,GET,/v1/debuginfo/node,Get debug info for the current node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/debuginfo/node/,official_docs,,,unreviewed,
debuginfo/node/bdb,Current node database debug info requests,GET,/v1/debuginfo/node/bdb/{bdb_uid},Get debug info for the current node regarding a specific database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/debuginfo/node/bdb/,official_docs,,,unreviewed,
diagnostics,Diagnostics requests,GET,/v1/diagnostics,Get diagnostic logging service configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/diagnostics/,official_docs,diagnostics,true,unreviewed,
diagnostics,Diagnostics requests,PUT,/v1/diagnostics,Update diagnostic logging service configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/diagnostics/,official_docs,diagnostics,true,unreviewed,
endpoints-stats,Endpoints stats requests,GET,/v1/endpoints/stats,Get stats for all endpoints,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/endpoints-stats/,official_docs,endpoints,true,unreviewed,
job_scheduler,Job scheduler requests,GET,/v1/job_scheduler,Get job scheduler settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/job_scheduler/,official_docs,job_scheduler,true,unreviewed,
job_scheduler,Job scheduler requests,PUT,/v1/job_scheduler,Update job scheduler settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/job_scheduler/,official_docs,job_scheduler,true,unreviewed,
jsonschema,JSON schema requests,GET,/v1/jsonschema,Get JSON schema of API objects,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/jsonschema/,official_docs,jsonschema,true,unreviewed,
ldap_mappings,LDAP mappings requests,GET,/v1/ldap_mappings,Get all LDAP mappings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ldap_mappings/,official_docs,ldap_mappings,true,unreviewed,
ldap_mappings,LDAP mappings requests,GET,/v1/ldap_mappings/{uid},Get a single LDAP mapping,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ldap_mappings/,official_docs,ldap_mappings,true,unreviewed,
ldap_mappings,LDAP mappings requests,PUT,/v1/ldap_mappings/{uid},Update an LDAP mapping,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ldap_mappings/,official_docs,ldap_mappings,true,unreviewed,
ldap_mappings,LDAP mappings requests,POST,/v1/ldap_mappings,Create a new LDAP mapping,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ldap_mappings/,official_docs,ldap_mappings,true,unreviewed,
ldap_mappings,LDAP mappings requests,DELETE,/v1/ldap_mappings/{uid},Delete an LDAP mapping,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ldap_mappings/,official_docs,ldap_mappings,true,unreviewed,
license,License requests,GET,/v1/license,Get license details,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/license/,official_docs,license,true,unreviewed,
license,License requests,PUT,/v1/license,Update the license,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/license/,official_docs,license,true,unreviewed,
logs,Logs requests,GET,/v1/logs,Get cluster events log,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/logs/,official_docs,logs,true,unreviewed,
